,Autor: ,Comentario: 
80,@jAwsH_,Just to let ya'll know I'm here before this guy blows up.
81,@jkgkgokn,u are so  in Chinese internet!!
82,@Top5BlueLobsterJumpscare,"The ""oohhhhhhhhhh"" feels like 4runner"
83,@BocchanGod-dp1qn,Majestic
84,@user-bp3ok4tk4i,โครตดี
85,@davindarmawan8948,People who come for this song  from TikTok drop a like
86,@user61511,i just came fron tiktok.. i need long of these
87,@pa-praewa-aa2669,Cool we support you guys
88,@Omeiplease,Here before this becomes viral
89,@Amaanisrarofficial,Can we collab?
90,@Ababa-vd2ux,I like how to made this song
91,@marianapascacio,
92,@ellejsbly4593,from your  ig 
93,@descal5904,Chords? Anyone?
94,@NARI00,쇼츠로 넘어온 한국인️
95,@khairulamin8970,Came from insta
96,@sara-lw4sn,اكو شخص دزلي هاي الاغنية شنو قصده؟
97,@longlife7714,🫡🫡🫡
98,@mamatondeonde179,Vibing
99,@lostproject8386,🇧🇩
100,@martinadropulic7575,Tik tok
101,@rolandcredo2507,1:06
102,@sgl5329,xhs的集合啦！
103,@athulroy9972,Y short?
104,@KAURESAH,Ninggalin jejak
105,@user-qo5kw4cr1h,moonkay
106,@user-nu9zl2bb9n,超好聽
107,@nachozapater2209,
108,@mickeyy8600,🫶️
109,@nekkaaah,
110,@wolfkid6500,
